Date,Group,Milk,Fat,Protein,Lactose,Somatic_cells
2009-02-16,4,28.89,3.59,3.39,4.83,426
2009-02-16,5,26.96,3.53,3.41,4.76,202
2009-03-24,1,39.38,3.7,3.17,4.95,299
2009-03-24,2,43.84,3.6,3.19,4.87,322
2009-03-24,3,45.86,3.53,3.16,4.89,315
2009-03-24,4,26.38,4.1,3.5,4.76,223
2009-03-24,5,27.69,3.58,3.4,4.76,222
2009-04-19,1,36.81,3.73,3.0,4.85,406
2009-04-19,2,40.8,3.46,3.06,4.83,386
2009-04-19,3,41.72,3.28,3.0,4.83,274
2009-04-19,4,25.72,3.8,3.35,4.82,243
2009-04-19,5,24.84,3.83,3.33,4.83,350
2009-05-19,1,36.53,3.15,2.91,4.75,349
2009-05-19,2,42.88,3.33,2.98,4.8,350
2009-05-19,3,41.87,3.18,2.93,4.71,259
2009-05-19,4,23.96,3.77,3.29,4.58,609
2009-05-19,5,25.61,3.64,3.36,4.76,311
2009-06-14,1,37.49,3.43,2.9,4.78,125
2009-06-14,2,42.32,3.2,2.92,4.65,422
2009-06-14,3,42.08,3.13,2.89,4.7,541
2009-06-14,4,25.23,3.7,3.23,4.48,345
2009-06-14,5,27.34,3.79,3.24,4.71,272
2009-07-21,1,34.61,3.21,2.89,4.65,220
2009-07-21,2,40.24,2.96,2.91,4.64,579
2009-07-21,3,37.89,3.27,2.93,4.64,238
2009-07-21,4,24.05,3.5,3.26,4.52,344
2009-07-21,5,24.79,3.36,3.26,4.63,386
2009-09-01,1,34.68,2.87,2.74,4.37,222
2009-09-01,2,40.18,2.66,3.05,4.72,326
2009-09-01,3,37.3,2.86,3.11,4.61,235
2009-09-01,4,23.63,3.8,3.49,4.59,659
2009-09-01,5,25.95,3.32,3.32,4.59,270
2009-09-24,1,34.15,3.23,2.96,4.71,280
2009-09-24,2,37.76,2.87,3.04,4.64,281
2009-09-24,3,37.31,3.04,3.05,4.65,269
2009-09-24,4,23.05,4.06,3.46,4.55,366
2009-09-24,5,24.2,3.3,3.29,4.51,237
2009-10-26,1,34.58,2.25,2.06,3.19,202
2009-10-26,2,38.55,2.25,2.18,3.38,112
2009-10-26,3,38.58,2.76,2.55,4.08,263
2009-10-26,4,22.58,3.58,3.28,4.4,351
2009-10-26,5,19.34,3.69,3.29,4.29,224
2009-11-30,1,35.9,3.26,3.01,4.76,307
2009-11-30,2,39.71,3.11,3.09,4.67,284
2009-11-30,3,41.12,3.03,2.99,4.58,435
2009-11-30,4,22.55,3.77,3.47,4.47,426
2009-11-30,5,20.4,3.42,3.43,4.28,712
2009-12-22,1,35.37,3.2,2.92,4.45,669
2009-12-22,2,40.71,3.44,3.08,4.54,317
2009-12-22,3,41.86,3.21,3.04,4.61,661
2009-12-22,4,24.0,3.85,3.46,4.51,216
2009-12-22,5,23.02,3.88,3.55,4.63,234
2010-01-13,1,34.13,3.67,3.07,4.75,394
2010-01-13,2,42.73,3.56,3.02,4.67,398
2010-01-13,3,44.36,3.58,3.05,4.66,472
2010-01-13,4,25.0,4.06,3.4,4.7,203
2010-01-13,5,25.49,3.86,3.29,4.56,209
2010-02-16,1,33.55,3.44,2.98,4.79,121
2010-02-16,2,43.54,3.21,3.0,4.75,270
2010-02-16,3,44.32,3.17,2.9,4.64,333
2010-02-16,4,24.45,4.02,3.45,4.71,214
2010-02-16,5,27.12,3.85,3.42,4.76,199
2010-03-12,1,35.43,2.96,2.62,4.23,745
2010-03-12,2,44.82,3.09,3.0,4.75,281
2010-03-12,3,44.86,3.0,2.98,4.73,247
2010-03-12,4,24.93,3.81,3.42,4.71,209
2010-03-12,5,27.57,3.6,3.31,4.8,184
2010-03-12,7,15.8,4.14,2.68,4.69,95
2010-04-21,1,33.85,3.61,3.09,4.9,126
2010-04-21,2,44.95,3.44,2.95,4.8,335
2010-04-21,3,41.94,3.33,3.0,4.68,276
2010-04-21,4,22.8,4.15,3.46,4.64,321
2010-04-21,5,24.83,3.88,3.35,4.74,426
2010-05-26,1,32.87,3.31,3.07,4.77,152
2010-05-26,2,42.64,3.11,3.04,4.75,453
2010-05-26,3,42.39,2.94,3.06,4.76,166
2010-05-26,4,21.98,3.5,3.38,4.67,685
2010-05-26,5,22.52,3.77,3.36,4.83,362
2010-06-29,1,32.38,2.91,2.71,4.28,272
2010-06-29,2,42.16,3.36,2.96,4.72,356
2010-06-29,3,39.78,3.51,3.03,4.66,536
2010-06-29,4,23.29,3.62,3.25,4.67,342
2010-06-29,5,26.09,3.27,3.18,4.7,265
2010-07-19,1,34.18,3.21,2.94,4.88,228
2010-07-19,2,41.64,3.16,2.89,4.72,405
2010-07-19,3,41.58,3.42,3.03,4.76,244
2010-07-19,4,23.6,3.71,3.17,4.75,221
2010-07-19,5,24.59,3.81,3.22,4.67,310
2010-08-14,1,33.79,3.48,2.98,4.73,165
2010-08-14,2,40.11,3.52,2.9,4.48,318
2010-08-14,3,40.99,3.27,2.94,4.57,289
2010-08-14,4,22.74,3.88,3.27,4.59,238
2010-08-14,5,24.53,3.88,3.27,4.54,399
2010-09-07,1,33.31,3.46,2.78,4.39,591
2010-09-07,2,39.95,3.46,2.94,4.51,301
2010-09-07,3,41.37,3.38,2.95,4.57,478
2010-09-07,4,22.93,3.95,3.29,4.51,307
2010-09-07,5,25.68,3.95,3.22,4.57,203
2010-09-07,7,19.8,2.78,2.63,2.98,1037
2010-10-17,1,33.53,3.38,3.11,4.76,90
2010-10-17,2,39.36,3.53,2.97,4.49,259
2010-10-17,3,38.98,3.36,3.02,4.64,195
2010-10-17,4,21.23,4.05,3.45,4.49,205
2010-10-17,5,21.07,4.04,3.43,4.48,280
2010-11-07,1,34.46,3.23,3.01,4.65,104
2010-11-07,2,43.23,3.43,3.12,4.61,312
2010-11-07,3,41.13,3.36,3.17,4.6,562
2010-11-07,4,21.18,3.93,3.52,4.44,481
2010-11-07,5,23.05,3.89,3.43,4.44,304
2010-12-05,1,34.61,3.7,3.18,4.86,133
2010-12-05,2,42.53,3.49,3.13,4.57,222
2010-12-05,3,41.28,3.57,3.24,4.66,433
2010-12-05,4,22.84,4.13,3.56,4.53,308
2010-12-05,5,24.35,3.75,3.38,4.46,257
2011-01-09,1,36.05,3.57,3.15,4.96,229
2011-01-09,2,44.16,3.36,3.17,4.75,406
2011-01-09,3,40.23,3.36,3.16,4.7,622
2011-01-09,4,21.42,3.82,3.6,4.64,467
2011-01-09,5,23.66,3.62,3.41,4.64,424
2011-02-01,1,35.11,3.37,3.12,4.82,272
2011-02-01,2,44.23,3.34,3.16,4.61,1046
2011-02-01,3,41.74,3.31,3.14,4.6,1003
2011-02-01,4,22.99,3.57,3.59,4.52,480
2011-02-01,5,26.11,3.31,3.41,4.51,484
2011-03-06,1,35.44,3.76,3.16,4.93,218
2011-03-06,2,46.42,3.45,3.13,4.83,397
2011-03-06,3,40.3,3.76,3.17,4.67,458
2011-03-06,4,21.66,3.5,3.46,4.58,355
2011-03-06,5,24.81,3.48,3.47,4.72,524
2011-04-11,1,35.57,3.64,3.1,4.89,492
2011-04-11,2,47.12,3.29,3.15,4.87,572
2011-04-11,3,43.39,3.44,3.1,4.87,378
2011-04-11,4,21.52,3.96,3.42,4.65,281
2011-04-11,5,25.71,3.79,3.39,4.73,362
2011-05-13,1,33.52,2.8,2.33,3.78,122
2011-05-13,2,45.29,3.18,3.12,4.79,510
2011-05-13,3,42.05,3.16,2.99,4.68,506
2011-05-13,4,24.19,3.86,3.46,4.79,281
2011-05-13,5,23.44,3.88,3.42,4.69,476
2011-06-09,1,33.52,3.08,2.81,4.43,160
2011-06-09,2,42.28,3.19,3.09,4.69,527
2011-06-09,3,42.1,3.17,2.99,4.81,360
2011-06-09,4,22.01,3.78,3.31,4.66,367
2011-06-09,5,24.71,3.78,3.3,4.75,410
2011-07-01,1,34.17,3.16,2.81,4.49,200
2011-07-01,2,43.99,3.43,3.11,4.78,427
2011-07-01,3,43.57,3.37,3.08,4.83,303
2011-07-01,4,23.87,4.01,3.27,4.7,733
2011-07-01,5,23.87,3.97,3.24,4.63,282
2011-08-02,1,32.08,3.54,3.09,4.94,180
2011-08-02,2,37.91,3.52,2.9,4.61,345
2011-08-02,3,38.67,3.51,2.93,4.79,539
2011-08-02,4,21.77,3.9,3.32,4.68,419
2011-08-02,5,24.87,4.05,3.38,4.7,314
2011-09-07,1,32.91,3.5,3.12,4.95,327
2011-09-07,2,38.49,3.53,3.06,4.78,461
2011-09-07,3,39.8,3.37,3.0,4.67,413
2011-09-07,4,19.54,3.96,3.46,4.57,670
2011-09-07,5,24.68,4.22,3.4,4.75,264
2011-10-04,1,32.87,3.29,2.89,4.52,162
2011-10-04,2,42.08,3.48,3.08,4.71,269
2011-10-04,3,41.3,3.43,3.01,4.73,133
2011-10-04,4,23.22,4.02,3.44,4.54,427
2011-10-04,5,24.55,4.02,3.46,4.64,339
2011-11-15,1,33.07,3.62,3.17,4.9,157
2011-11-15,2,43.45,3.11,3.11,4.77,140
2011-11-15,3,42.13,3.55,3.2,4.74,157
2011-11-15,4,25.0,3.87,3.62,4.64,388
2011-11-15,5,27.43,3.94,3.71,4.78,398
2011-12-14,1,34.52,3.69,3.15,4.97,102
2011-12-14,2,45.29,3.38,3.15,4.87,247
2011-12-14,3,43.92,3.64,3.15,4.78,301
2011-12-14,4,24.71,3.91,3.53,4.63,478
2011-12-14,5,27.13,4.12,3.55,4.82,228
2012-01-12,1,34.89,3.58,3.13,4.98,104
2012-01-12,2,45.57,3.3,3.01,4.77,166
2012-01-12,3,43.29,3.62,3.07,4.81,307
2012-01-12,4,24.61,4.03,3.37,4.46,359
2012-01-12,5,28.78,4.5,3.52,4.77,350
2012-02-13,1,34.22,3.39,3.12,4.91,146
2012-02-13,2,41.37,3.41,3.16,4.83,317
2012-02-13,3,39.92,3.52,3.12,4.78,354
2012-02-13,4,27.93,4.05,3.27,4.64,381
2012-02-13,5,29.35,3.97,3.23,4.54,718
2012-03-21,1,34.39,3.76,3.18,4.82,172
2012-03-21,2,40.56,3.58,3.24,4.77,211
2012-03-21,3,39.91,3.72,3.22,4.77,151
2012-03-21,4,35.05,3.87,3.23,4.85,205
2012-03-21,5,32.5,4.22,3.39,4.83,298
2012-04-23,1,31.13,3.64,3.24,4.9,146
2012-04-23,2,38.2,3.62,3.26,4.79,294
2012-04-23,3,37.33,3.78,3.23,4.74,200
2012-04-23,4,33.94,3.71,3.23,4.88,186
2012-04-23,5,34.34,3.71,3.18,4.77,399
2012-05-13,1,31.38,3.74,3.24,4.85,169
2012-05-13,2,38.26,3.49,3.18,4.76,194
2012-05-13,3,36.86,3.68,3.16,4.7,361
2012-05-13,4,34.01,3.6,3.01,4.59,329
2012-05-13,5,36.07,3.72,3.22,4.84,297
2012-06-17,1,28.13,3.79,3.16,4.75,175
2012-06-17,2,32.31,4.09,3.21,4.82,264
2012-06-17,3,33.48,3.75,3.03,4.55,359
2012-06-17,4,31.72,3.75,3.14,4.83,234
2012-06-17,5,32.08,3.91,3.06,4.61,370
2012-07-16,1,30.07,3.84,3.19,4.81,145
2012-07-16,2,32.04,3.81,3.16,4.81,176
2012-07-16,3,32.88,3.8,3.13,4.62,209
2012-07-16,4,31.79,3.68,3.13,4.72,318
2012-07-16,5,35.19,3.92,3.19,4.77,358
2012-08-10,1,27.77,3.63,3.2,4.82,186
2012-08-10,2,30.05,3.62,3.17,4.79,180
2012-08-10,3,31.35,3.63,3.13,4.55,241
2012-08-10,4,30.14,3.72,3.13,4.72,352
2012-08-10,5,33.49,3.42,3.01,4.53,151
2012-09-11,1,27.9,3.8,3.34,4.85,158
2012-09-11,2,30.43,3.65,3.23,4.8,209
2012-09-11,3,35.08,3.76,3.23,4.65,226
2012-09-11,4,33.45,3.58,3.23,4.74,407
2012-09-11,5,36.6,3.63,3.25,4.72,319
2012-10-14,1,27.2,3.5,3.24,4.84,289
2012-10-14,2,28.04,3.35,3.27,4.8,263
2012-10-14,3,33.19,3.51,3.26,4.64,208
2012-10-14,4,33.07,3.63,3.28,4.73,355
2012-10-14,5,36.03,3.39,3.19,4.7,334
2012-11-09,1,29.54,3.27,3.16,4.71,122
2012-11-09,2,28.49,3.38,3.38,4.84,210
2012-11-09,3,35.0,3.51,3.28,4.64,210
2012-11-09,4,35.64,3.69,3.26,4.74,366
2012-11-09,5,37.78,3.38,3.26,4.72,555
2012-12-09,1,31.76,3.71,3.28,4.77,162
2012-12-09,2,31.01,3.72,3.36,4.84,175
2012-12-09,3,34.76,3.93,3.4,4.55,452
2012-12-09,4,35.12,3.86,3.41,4.65,757
2012-12-09,5,35.46,3.81,3.47,4.65,482
2013-01-29,1,35.54,3.49,3.2,4.98,197
2013-01-29,2,35.0,3.52,3.18,4.88,233
2013-01-29,3,37.82,3.91,3.29,4.82,346
2013-01-29,4,35.76,3.98,3.35,4.85,470
2013-01-29,5,32.5,3.84,3.16,4.35,346
2013-02-27,1,34.7,3.52,3.18,4.93,250
2013-02-27,2,33.87,3.64,3.26,5.01,175
2013-02-27,3,38.52,3.61,3.27,4.82,179
2013-02-27,4,35.24,3.96,3.21,4.67,488
2013-02-27,5,37.32,3.97,3.24,4.88,395
2013-03-24,1,36.33,3.58,3.3,4.97,125
2013-03-24,2,34.71,3.63,3.39,5.01,243
2013-03-24,3,40.51,3.49,3.36,4.85,224
2013-03-24,4,39.31,3.64,3.37,4.85,262
2013-03-24,5,39.54,3.79,3.34,4.92,343
2013-04-17,1,30.98,3.77,3.15,4.87,448
2013-04-17,2,31.85,3.79,3.33,5.04,202
